NAME,X,Y,STATE,STATUS,BEDS
RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS,-74.1059378,40.63590241,NY,OPEN,448.0
STATEN ISLAND UNIVERSITY HOSPITAL - NORTH,-74.08621989,40.58498461,NY,OPEN,508.0
MILLARD FILLMORE SUBURBAN HOSPITAL,-78.73023829,42.99403948,NY,OPEN,265.0
ALBANY MEMORIAL HOSPITAL,-73.748675,42.67418337,NY,OPEN,165.0
BELLEVUE HOSPITAL CENTER,-73.97538175,40.7393201,NY,OPEN,912.0
BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,-73.91114694,40.84349255,NY,OPEN,415.0
ELLIS HOSPITAL,-73.91731809,42.81985762,NY,OPEN,368.0
GLEN COVE HOSPITAL,-73.62238567,40.8710014,NY,OPEN,247.0
KINGSBROOK JEWISH MEDICAL CENTER,-73.93354531,40.65944045,NY,OPEN,303.0
LONG ISLAND JEWISH MEDICAL CENTER,-73.70810636,40.75434328,NY,OPEN,1025.0
"MOHAWK VALLEY HEART INSTITUTE, INC",-75.26660171,43.08149046,NY,OPEN,-999.0
MONTEFIORE MOUNT VERNON HOSPITAL,-73.840562,40.91289836,NY,OPEN,176.0
MONTEFIORE NEW ROCHELLE HOSPITAL,-73.7877626,40.91280606,NY,OPEN,23.0
MOUNT SINAI BETH ISRAEL BROOKLYN,-73.94290124,40.6188201,NY,OPEN,212.0
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,-73.92488434,40.76829506,NY,OPEN,228.0
NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,-73.91305033,40.87327524,NY,OPEN,196.0
NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,-73.75390988,41.02757951,NY,OPEN,270.0
NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,-73.89260099,41.29246466,NY,OPEN,128.0
NICHOLAS H NOYES MEMORIAL HOSPITAL,-77.69777078,42.55302525,NY,OPEN,67.0
NORTHERN DUTCHESS HOSPITAL,-73.91319583,41.93547004,NY,OPEN,68.0
CROUSE HOSPITAL - COMMONWEALTH DIVISION,-76.10738979,43.09843904,NY,OPEN,40.0
ONEIDA HEALTHCARE,-75.65449007,43.07770601,NY,OPEN,101.0
OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV,-76.48991686,43.448562,NY,OPEN,32.0
ROCKEFELLER UNIVERSITY HOSPITAL,-73.95462317,40.76304744,NY,OPEN,40.0
HARLEM HOSPITAL CENTER,-73.93986126,40.81426493,NY,OPEN,282.0
HENRY J. CARTER SPECIALTY HOSPITAL,-73.94162385,40.80328511,NY,OPEN,201.0
SBH HEALTH SYSTEM,-73.89136288,40.85268901,NY,OPEN,461.0
IRA DAVENPORT MEMORIAL HOSPITAL INC,-77.27890663,42.3743292,NY,OPEN,35.0
JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC,-73.05439851,40.9390674,NY,OPEN,248.0
ST. PETER'S ADDICTION RECOVERY CENTER,-73.90522461,42.69962755,NY,OPEN,40.0
THE BURDETT CARE CENTER,-73.67266608,42.73335775,NY,OPEN,15.0
THE UNITY HOSPITAL OF ROCHESTER,-77.7051509,43.19291838,NY,OPEN,311.0
THE UNITY HOSPITAL OF ROCHESTER-ST MARYS CAMPUS,-77.63709975,43.14869528,NY,OPEN,40.0
MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,-73.84589022,40.84988921,NY,OPEN,421.0
THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,-73.46941986,44.70044304,NY,OPEN,300.0
TRI TOWN REGIONAL HEALTHCARE,-75.39546902,42.3041547,NY,OPEN,4.0
MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,-73.86119119,40.89369717,NY,OPEN,325.0
MOUNT SINAI WEST,-73.9874019,40.76982061,NY,OPEN,514.0
MOUNT SINAI ST. LUKE'S,-73.96159035,40.80492254,NY,OPEN,495.0
NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,-73.94068652,40.84105288,NY,OPEN,1007.0
NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,-73.95433226,40.76454994,NY,OPEN,862.0
UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS,-78.17663186,43.00506087,NY,OPEN,111.0
UNIVERSITY HOSPITAL OF BROOKLYN,-73.94422785,40.65484188,NY,OPEN,342.0
NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,-74.00529783,40.71051679,NY,OPEN,180.0
NYU HOSPITALS CENTER,-73.97392933,40.7420469,NY,OPEN,844.0
URMC STRONG WEST,-77.94457511,43.22161178,NY,OPEN,-999.0
SJRH - ST JOHNS DIVISION,-73.88614692,40.96891353,NY,OPEN,225.0
WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,-73.7515055,41.01680868,NY,OPEN,150.0
ST JOSEPH'S MEDICAL CENTER,-73.89769468,40.92925602,NY,OPEN,194.0
VA MEDICAL CENTER - ALBANY STRATTON,-73.77194459,42.65080818,NY,OPEN,-999.0
WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO,-78.87520901,42.90920851,NY,OPEN,200.0
WINTHROP-UNIVERSITY HOSPITAL,-73.6430084,40.74069748,NY,OPEN,591.0
MARY IMOGENE BASSETT HOSPITAL,-74.92295557,42.69525514,NY,OPEN,180.0
CORNING HOSPITAL,-76.96951777,42.13535079,NY,OPEN,65.0
MOUNT SINAI BETH ISRAEL,-73.98177078,40.73310481,NY,OPEN,825.0
SJRH - PARK CARE PAVILION,-73.89165239,40.94038607,NY,OPEN,141.0
TLC HEALTH NETWORK LAKE SHORE HOSPITAL,-79.12583875,42.55848862,NY,OPEN,45.0
ST JOSEPHS HOSPITAL,-76.7984345,42.09195035,NY,OPEN,125.0
KELLER ARMY COMMUNITY HOSPITAL,-73.97713704,41.40187124,NY,OPEN,-999.0
VA MEDICAL CENTER - BATAVIA,-78.19787395,43.0133403,NY,OPEN,-999.0
VA MEDICAL CENTER - BATH,-77.34750919,42.34405241,NY,OPEN,-999.0
VA MEDICAL CENTER - BUFFALO,-78.81215039,42.95109263,NY,OPEN,-999.0
VA MEDICAL CENTER - CANANDAIGUA,-77.26963606,42.90123744,NY,OPEN,-999.0
VA MEDICAL CENTER - CASTLE POINT CAMPUS,-73.96337745,41.54362128,NY,OPEN,-999.0
VA MEDICAL CENTER - MONTROSE CAMPUS,-73.92928204,41.23701881,NY,OPEN,-999.0
JAMES J. PETERS VA MEDICAL CENTER,-73.90638209,40.86734866,NY,OPEN,-999.0
VA MEDICAL CENTER - MANHATTAN CAMPUS,-73.97707927,40.73688147,NY,OPEN,-999.0
VA MEDICAL CENTER - SYRACUSE,-76.13895418,43.0388312,NY,OPEN,-999.0
VA MEDICAL CENTER - BROOKLYN CAMPUS,-74.02418643,40.60792285,NY,OPEN,-999.0
ST. ALBANS COMMUNITY LIVING CENTER,-73.76867577,40.69064667,NY,OPEN,-999.0
CAPITAL DISTRICT PSYCHIATRIC CENTER,-73.78020285,42.65449071,NY,OPEN,-999.0
ST JOHN'S EPISCOPAL HOSPITAL SOUTH SHORE,-73.49674757,40.74387447,NY,OPEN,-999.0
"BRUNSWICK HOSPITAL CENTER, INC",-73.42114535,40.68523661,NY,OPEN,124.0
BRYLIN HOSPITAL,-78.86800239,42.91841783,NY,OPEN,88.0
THE LONG ISLAND HOME,-73.42263251,40.68576604,NY,OPEN,232.0
FOUR WINDS HOSPITAL WESTCHESTER,-73.62071751,41.26639132,NY,OPEN,178.0
FOUR WINDS HOSPITAL SARATOGA,-73.78539606,43.05813047,NY,OPEN,88.0
KIRBY FORENSIC PSYCHIATRIC CENTER,-73.92912735,40.79000437,NY,OPEN,-999.0
MANHATTAN PSYCHIATRIC CENTER,-73.93076917,40.78830543,NY,OPEN,-999.0
NEW YORK PSYCHIATRIC INSTITUTE,-73.94454839,40.84240204,NY,OPEN,-999.0
ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,-74.18712292,42.95906517,NY,OPEN,10.0
UHS BINGHAMTON GENERAL HOSPITAL,-75.9144438,42.08631555,NY,OPEN,220.0
GROVER M. HERMAN HOSPITAL,-75.04741551,41.74029193,NY,OPEN,15.0
WOMANS CHRISTIAN ASSOC HOSPITAL - WCA HOSP AT JONES MEMORIAL HEALTH CENTER,-79.24536584,42.09116724,NY,OPEN,40.0
WCA HOSPITAL,-79.23212031,42.09127224,NY,OPEN,245.0
MERCY HOSPITAL - MERCY HOSPITAL ORCHARD PARK DIVISION,-78.77257279,42.78054509,NY,OPEN,2.0
MID-HUDSON VALLEY DIVISION OF WESTCHESTER MEDICAL CENTER,-73.92770935,41.71783839,NY,OPEN,243.0
STONY BROOK UNIVERSITY HOSPITAL,-73.11567822,40.90919446,NY,OPEN,603.0
BLYTHEDALE CHILDREN'S HOSPITAL,-73.79997224,41.07484754,NY,OPEN,86.0
BRONX PSYCHIATRIC CENTER,-73.83985828,40.84718852,NY,OPEN,-999.0
NEW YORK CITY CHILDREN'S CENTER - INPATIENT,-73.83850199,40.84659365,NY,OPEN,-999.0
GREATER BINGHAMTON HEALTH CENTER,-75.86826849,42.105825,NY,OPEN,-999.0
ELMIRA PSYCHIATRIC CENTER,-76.79504971,42.09161127,NY,OPEN,-999.0
WESTERN NEW YORK CHILDREN'S PSYCHIATRIC CENTER,-78.73154929,42.82386953,NY,OPEN,-999.0
KINGSBORO PSYCHIATRIC CENTER,-73.93913475,40.65648551,NY,OPEN,-999.0
ROCHESTER PSYCHIATRIC CENTER,-77.61057965,43.12331264,NY,OPEN,-999.0
FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS,-75.27589377,43.09673342,NY,OPEN,370.0
CENTRAL NEW YORK PSYCHIATRIC CENTER,-75.30232149,43.16743673,NY,OPEN,-999.0
MOHAWK VALLEY PSYCHIATRIC CENTER,-75.26008732,43.10016113,NY,OPEN,-999.0
HUTCHINGS PSYCHIATRIC CENTER,-76.14054445,43.04519375,NY,OPEN,-999.0
MID HUDSON FORENSIC PSYCHIATRIC CENTER,-74.3925228,41.40567172,NY,OPEN,-999.0
CREEDMOOR PSYCHIATRIC CENTER,-73.7315253,40.74113951,NY,OPEN,-999.0
NEW YORK CITY CHILDREN'S CENTER QUEENS INPATIENT,-73.72574321,40.74553675,NY,OPEN,-999.0
SOUTH BEACH PSYCHIATRIC CENTER,-74.08061727,40.58201505,NY,OPEN,-999.0
ST. PETER'S HOSPITAL,-73.80365597,42.65596772,NY,OPEN,442.0
CUBA MEMORIAL HOSPITAL,-78.28786338,42.21292247,NY,OPEN,6.0
NEW YORK COMMUNITY HOSPITAL,-73.94871078,40.61377099,NY,OPEN,134.0
STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH,-74.19646609,40.51656928,NY,OPEN,206.0
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,-73.95659552,40.76427432,NY,OPEN,514.0
CATSKILL REGIONAL MEDICAL CENTER,-74.7375244,41.70906079,NY,OPEN,154.0
