NAME,X,Y,STATE,STATUS,BEDS,ICU_Beds
ST. PETER'S ADDICTION RECOVERY CENTER,-73.90522461,42.69962755,NY,OPEN,40.0,2
THE BURDETT CARE CENTER,-73.67266608,42.73335775,NY,OPEN,15.0,1
THE UNITY HOSPITAL OF ROCHESTER,-77.7051509,43.19291838,NY,OPEN,311.0,31
THE UNITY HOSPITAL OF ROCHESTER-ST MARYS CAMPUS,-77.63709975,43.14869528,NY,OPEN,40.0,2
MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,-73.84589022,40.84988921,NY,OPEN,421.0,42
THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,-73.46941986,44.70044304,NY,OPEN,300.0,30
TRI TOWN REGIONAL HEALTHCARE,-75.39546902,42.3041547,NY,OPEN,4.0,1
MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,-73.86119119,40.89369717,NY,OPEN,325.0,32
MOUNT SINAI WEST,-73.9874019,40.76982061,NY,OPEN,514.0,77
MOUNT SINAI ST. LUKE'S,-73.96159035,40.80492254,NY,OPEN,495.0,50
NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,-73.94068652,40.84105288,NY,OPEN,1007.0,151
NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,-73.95433226,40.76454994,NY,OPEN,862.0,129
UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS,-78.17663186,43.00506087,NY,OPEN,111.0,11
UNIVERSITY HOSPITAL OF BROOKLYN,-73.94422785,40.65484188,NY,OPEN,342.0,34
NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,-74.00529783,40.71051679,NY,OPEN,180.0,18
NYU HOSPITALS CENTER,-73.97392933,40.7420469,NY,OPEN,844.0,127
SJRH - ST JOHNS DIVISION,-73.88614692,40.96891353,NY,OPEN,225.0,22
WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,-73.7515055,41.01680868,NY,OPEN,150.0,15
ST JOSEPH'S MEDICAL CENTER,-73.89769468,40.92925602,NY,OPEN,194.0,19
WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO,-78.87520901,42.90920851,NY,OPEN,200.0,20
WINTHROP-UNIVERSITY HOSPITAL,-73.6430084,40.74069748,NY,OPEN,591.0,89
MARY IMOGENE BASSETT HOSPITAL,-74.92295557,42.69525514,NY,OPEN,180.0,18
CORNING HOSPITAL,-76.96951777,42.13535079,NY,OPEN,65.0,3
MOUNT SINAI BETH ISRAEL,-73.98177078,40.73310481,NY,OPEN,825.0,124
SJRH - PARK CARE PAVILION,-73.89165239,40.94038607,NY,OPEN,141.0,14
TLC HEALTH NETWORK LAKE SHORE HOSPITAL,-79.12583875,42.55848862,NY,OPEN,45.0,2
ST JOSEPHS HOSPITAL,-76.7984345,42.09195035,NY,OPEN,125.0,12
"BRUNSWICK HOSPITAL CENTER, INC",-73.42114535,40.68523661,NY,OPEN,124.0,12
BRYLIN HOSPITAL,-78.86800239,42.91841783,NY,OPEN,88.0,4
THE LONG ISLAND HOME,-73.42263251,40.68576604,NY,OPEN,232.0,23
FOUR WINDS HOSPITAL WESTCHESTER,-73.62071751,41.26639132,NY,OPEN,178.0,18
FOUR WINDS HOSPITAL SARATOGA,-73.78539606,43.05813047,NY,OPEN,88.0,4
ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,-74.18712292,42.95906517,NY,OPEN,10.0,1
UHS BINGHAMTON GENERAL HOSPITAL,-75.9144438,42.08631555,NY,OPEN,220.0,22
GROVER M. HERMAN HOSPITAL,-75.04741551,41.74029193,NY,OPEN,15.0,1
WOMANS CHRISTIAN ASSOC HOSPITAL - WCA HOSP AT JONES MEMORIAL HEALTH CENTER,-79.24536584,42.09116724,NY,OPEN,40.0,2
WCA HOSPITAL,-79.23212031,42.09127224,NY,OPEN,245.0,24
MERCY HOSPITAL - MERCY HOSPITAL ORCHARD PARK DIVISION,-78.77257279,42.78054509,NY,OPEN,2.0,1
MID-HUDSON VALLEY DIVISION OF WESTCHESTER MEDICAL CENTER,-73.92770935,41.71783839,NY,OPEN,243.0,24
STONY BROOK UNIVERSITY HOSPITAL,-73.11567822,40.90919446,NY,OPEN,603.0,90
BLYTHEDALE CHILDREN'S HOSPITAL,-73.79997224,41.07484754,NY,OPEN,86.0,4
FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS,-75.27589377,43.09673342,NY,OPEN,370.0,37
ST. PETER'S HOSPITAL,-73.80365597,42.65596772,NY,OPEN,442.0,44
CUBA MEMORIAL HOSPITAL,-78.28786338,42.21292247,NY,OPEN,6.0,1
NEW YORK COMMUNITY HOSPITAL,-73.94871078,40.61377099,NY,OPEN,134.0,13
STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH,-74.19646609,40.51656928,NY,OPEN,206.0,21
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,-73.95659552,40.76427432,NY,OPEN,514.0,77
CATSKILL REGIONAL MEDICAL CENTER,-74.7375244,41.70906079,NY,OPEN,154.0,15
